edge_id	source_case_key	target_case_key	edge_type	cluster_basis	shared_event_or_actor	shared_failure_mode	cross_source_overlap	evidence_tier_ceiling	review_notes	provenance_inputs	updated_at_utc
REVIEW-IDCOLLISION-LIMEN-000001::edge1	authoritative-candidates.jsonl:LIMEN-000001	security-agentic-candidates.jsonl:LIMEN-000001	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000001::edge2	authoritative-candidates.jsonl:LIMEN-000001	boost-009/candidate-cases.jsonl:LIMEN-000001	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000001::edge3	security-agentic-candidates.jsonl:LIMEN-000001	boost-009/candidate-cases.jsonl:LIMEN-000001	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000002::edge1	authoritative-candidates.jsonl:LIMEN-000002	security-agentic-candidates.jsonl:LIMEN-000002	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000002::edge2	authoritative-candidates.jsonl:LIMEN-000002	boost-009/candidate-cases.jsonl:LIMEN-000002	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000002::edge3	security-agentic-candidates.jsonl:LIMEN-000002	boost-009/candidate-cases.jsonl:LIMEN-000002	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000003::edge1	authoritative-candidates.jsonl:LIMEN-000003	security-agentic-candidates.jsonl:LIMEN-000003	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across shard files	T3_authoritative_source	Do not merge. File-qualified IDs show distinct biometric-governance and coding-agent exfiltration events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000004::edge1	authoritative-candidates.jsonl:LIMEN-000004	security-agentic-candidates.jsonl:LIMEN-000004	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across shard files	T3_authoritative_source	Do not merge. File-qualified IDs show distinct school biometrics and CrewAI local-file-read events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T00:37:48Z
REVIEW-IDCOLLISION-LIMEN-000005::edge1	authoritative-candidates.jsonl:LIMEN-000005	security-agentic-candidates.jsonl:LIMEN-000005	identifier_collision_blocker	same_case_id_string_across_distinct_events	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across two distinct lineages	T3_authoritative_source	Do not merge. Bare case_id reuse now points to a DOJ charging-stage alleged AI-misstatement / hidden-human-processing matter and a CrewAI SSRF/internal-content-acquisition vulnerability; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T03:28:54Z
REVIEW-NOMERGE-CREWAI-001::edge1	security-agentic-candidates.jsonl:LIMEN-000004	security-agentic-candidates.jsonl:LIMEN-000005	reviewed_not_duplicate	shared_system_family_only	CrewAI	agent tool boundary failures	same product family but distinct CVEs and attack surfaces (local file read vs SSRF/internal retrieval)	T3_authoritative_source	Do not merge. These rows support a candidate subtype around agent-tool boundary failures, but they are separate vulnerabilities and should remain distinct cases.	data/cases/security-agentic-candidates.jsonl	2026-06-07T00:37:48Z
REVIEW-NOMERGE-ICO-001::edge1	authoritative-candidates.jsonl:LIMEN-000003	authoritative-candidates.jsonl:LIMEN-000004	reviewed_not_duplicate	shared_authority_actor_only	Information Commissioner's Office	biometric governance / facial recognition oversight	same regulator family but different regulated entities, dates, intervention types, and affected contexts	T3_authoritative_source	Do not collapse. Serco worker-attendance enforcement and Chelmer school canteen reprimand are separate events; useful as repeated subtype evidence, not duplicate evidence.	data/cases/authoritative-candidates.jsonl	2026-06-07T00:37:48Z
REVIEW-NOMERGE-SEC-001::edge1	boost-009/candidate-cases.jsonl:LIMEN-000001	boost-009/candidate-cases.jsonl:LIMEN-000002	reviewed_not_duplicate	shared_regulator_batch_only	U.S. Securities and Exchange Commission	AI-washing / misleading AI marketing in regulated finance	same SEC announcement batch and reporting date, but different firms, order identifiers, and claim particulars	T3_authoritative_source	Do not collapse. Delphia and Global Predictions were announced together by the SEC, but they remain distinct enforcement matters and should count as repeated subtype evidence, not a single duplicate event.	results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T01:14:46Z
REVIEW-NOMERGE-CODEEXEC-001::edge1	security-agentic-candidates.jsonl:LIMEN-000001	security-agentic-candidates.jsonl:LIMEN-000006	reviewed_not_duplicate	shared_concrete_failure_mode	Auto-GPT and LangChain LLMMathChain	unsafe execution of model-supplied Python / code paths	repeated code-execution failure mode across distinct agent/framework products; no shared event, actor, or advisory lineage	T3_authoritative_source	Do not merge. Auto-GPT path traversal enabling later host execution and LangChain LLMMathChain prompt injection into Python exec are separate vulnerabilities in different products, but together they strengthen a reviewer-legible subtype around model-supplied code execution surfaces.	data/cases/security-agentic-candidates.jsonl	2026-06-07T04:04:34Z
REVIEW-NOMERGE-CODEEXEC-002::edge1	security-agentic-candidates.jsonl:LIMEN-000006	security-agentic-candidates.jsonl:LIMEN-000007	reviewed_not_duplicate	shared_concrete_failure_mode	LangChain LLMMathChain and LlamaIndex safe_eval	LLM-generated or model-mediated code reaches Python/OS execution surfaces	repeated execution-surface pattern across distinct frameworks; no shared event, actor, or advisory lineage	T3_authoritative_source	Do not merge. LangChain LLMMathChain prompt injection into Python exec and LlamaIndex safe_eval command injection are separate vulnerabilities in different frameworks, but together they strengthen a reviewer-legible execution-surface subtype around LLM-generated code reaching host execution paths.	data/cases/security-agentic-candidates.jsonl	2026-06-07T05:26:38Z
